Site ID,Area,RFI Date,Power Configuration ,Site Status,PO Number,"Permanent Grid Connection PO Ref No.",Permanent Grid Connection Date,"Permanent Grid Connection cost","Temporary Grid Connection PO Ref No.",Temporary Grid Connection Date,"Temporary Grid Connection cost","Electrification Category(Rollout/ Operations)","Electrification conversion Rate",Electrification Invoice Batch No,"High Capex Sites(Yes/No)",Community Pass Thru cost,Ooredoo Site ID,Ooredoo Activation Date,Ooredoo Deactivation Date,Ooredoo  Site Class,Ooredoo Average Site Load,Ooredoo Uptime,MPT  OpCo ID,MPT Activation Date,MPT deactivation Date,Tenant2  Site Class,MPT Average Site Load,MPT Uptime,Amara  OpCo ID,Amara Activation Date,Amara deactivation Date,Amara  Site Class,Amara Average Site Load,Amara Uptime
AcNP0003,Naypyitaw,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcNP0003,17-09-2015,,Critical,2.48,99.9903342,,,,,,,,,,,,
AcKC0001,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0001,19-10-2015,,Critical,1.89,99.88291102,,,,,,,,,,,,
AcBA0002,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0002,21-09-2015,,Critical,3.75,99.84538447,,,,,,,,,,,,
AcSA0006,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0006,17-10-2015,,Class B,4.58,100,CoSA0002,10-11-2016,,Critical,1.5,100,,,,,,
AcRA0002,Rakhine,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcRA0002,04-11-2015,,Critical,5.42,99.59189566,,,,,,,,,,,,
AcBA0001,Bago,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcBA0001,21-09-2015,,Class B,5.16,99.84,CoBA0001,08-02-2017,,Critical,2.6,99.84,,,,,,
AcKC0002,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0002,19-10-2015,,Class B,2.46,100,,,,,,,,,,,,
AcMA0002,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0002,17-10-2015,,Class B,2.90,100,CoMA0001,11-08-2017,,Class C,1.5,100,,,,,,
AcMA0006,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0006,17-10-2015,,Critical,5.69,99.96,CoMA0002,26-02-2017,,Critical,1.5,99.96,,,,,,
AcMA0010,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0010,17-10-2015,,Class B,4.17,97.07613169,CoMA0005,02-03-2017,,Critical,2.6,97.07613169,,,,,,
AcMA0007,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0007,17-10-2015,,Class B,1.85,99.61520974,,,,,,,,,,,,
AcRA0001,Rakhine,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcRA0001,04-11-2015,,Class B,1.28,99.82215336,,,,,,,,,,,,
AcSA0004,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0004,17-10-2015,,Class B,1.92,100,,,,,,,,,,,,
AcTA0001,Tanintharyi,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcTA0001,23-09-2015,,Class B,2.03,99.99654852,,,,,,,,,,,,
AcMW0003,Magway,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMW0003,17-09-2015,,Class B,2.90,99.96728146,,,,,,,,,,,,
AcSA0005,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0005,17-10-2015,,Class B,2.50,99.87843903,,,,,,,,,,,,
AcSA0007,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0007,17-10-2015,,Class B,2.21,99.45112754,,,,,,,,,,,,
AcAY0002,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0002,21-09-2015,,Class B,2.16,99.99637843,,,,,,,,,,,,
AcMA0001,Mandalay,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMA0001,17-10-2015,,Class B,1.97,99.20360829,,,,,,,,,,,,
AcYA0003,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0003,23-09-2015,,Class B,3.90,99.86401915,CoYA0003,09-08-2017,,Class C,1.5,99.86401915,AmYA0001,27-02-2017,,Class C,1.5,99.86401915
AcYA0014,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0014,23-09-2015,,Class B,2.41,100,,,,,,,,,,,,
AcMW0004,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0004,17-09-2015,,Class B,3.32,99.95847023,CoMW0001,04-07-2017,,Class C,1.5,99.95847023,,,,,,
AcYA0007,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0007,23-09-2015,,Class B,2.80,99.86128534,CoYA0005,09-08-2017,,Class C,1.5,99.86128534,,,,,,
AcBA0005,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0005,21-09-2015,,Class B,3.77,99.42536174,CoBA0002,18-01-2017,,Critical,1.5,99.42536174,,,,,,
AcKN0002,Kayin,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcKN0002,19-09-2015,,Class B,1.66,100,,,,,,,,,,,,
AcMW0001,Magway,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMW0001,17-09-2015,,Critical,3.93,99.96,,,,,,,,,,,,
AcAY0005,Ayeyarwady,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcAY0005,21-09-2015,,Class B,3.13,99.90972637,,,,,,,,,,,,
AcKC0004,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0004,19-10-2015,,Critical,2.52,100,,,,,,,,,,,,
AcCH0001,Chin,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcCH0001,01-02-2016,,Critical,2.50,99.97155018,,,,,,,,,,,,
AcKC0003,Kachin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKC0003,19-10-2015,,Class B,2.52,99.85,CoKC0001,10-11-2016,,Class B,1.5,99.85,,,,,,
AcMO0002,Mon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMO0002,03-08-2017,,Class C,2.11,99.31,,,,,,,,,,,,
AcSH0005,Shan,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSH0005,19-10-2015,,Critical,2.43,99.99900438,,,,,,,,,,,,
AcYA0004,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0004,23-09-2015,,Class B,3.68,99.86,CoYA0004,15-08-2017,,Class C,1.5,99.86,,,,,,
AcYA0006,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0006,23-09-2015,,Class B,3.44,97.97857344,AmYA0002,22-02-2017,,Class C,1.5,97.97857344,,,,,,
AcYA0010,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0010,23-09-2015,,Critical,2.38,99.98015399,,,,,,,,,,,,
AcAY0007,Ayeyarwady,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcAY0007,21-09-2015,,Class B,1.92,99.97860663,,,,,,,,,,,,
AcBA0006,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0006,21-09-2015,,Class B,2.50,99.99739894,,,,,,,,,,,,
AcMA0004,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0004,17-10-2015,,Critical,2.70,98.4938479,,,,,,,,,,,,
AcMA0005,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0005,17-10-2015,,Class B,2.59,99.92820341,,,,,,,,,,,,
AcMA0011,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0011,17-10-2015,,Critical,6.13,98.44609136,,,,,,,,,,,,
AcMW0002,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0002,17-09-2015,,Class B,2.68,99.88907557,,,,,,,,,,,,
AcYA0016,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0016,23-09-2015,,Class B,2.70,99.07545135,,,,,,,,,,,,
AcYA0024,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0024,23-09-2015,,Class B,3.45,99.91,AmYA0006,06-02-2017,,Class C,1.5,99.91,,,,,,
AcAY0004,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0004,21-09-2015,,Class B,2.13,99.99584329,,,,,,,,,,,,
AcBA0003,Bago,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcBA0003,21-09-2015,,Class B,2.40,99.97001941,,,,,,,,,,,,
AcBA0004,Bago,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcBA0004,21-09-2015,,Critical,3.83,99.9941051,,,,,,,,,,,,
AcMA0008,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0008,17-10-2015,,Class B,3.11,99.80874983,,,,,,,,,,,,
AcMW0007,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0007,17-09-2015,,Class B,3.12,99.99578106,,,,,,,,,,,,
AcSA0002,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0002,17-10-2015,,Class B,1.64,100,,,,,,,,,,,,
AcSA0008,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0008,17-10-2015,,Class B,1.99,99.99997926,,,,,,,,,,,,
AcSH0004,Shan,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSH0004,19-10-2015,,Critical,2.41,99.98831392,,,,,,,,,,,,
AcTA0003,Tanintharyi,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcTA0003,23-09-2015,,Class B,3.71,99.75690296,,,,,,,,,,,,
AcYA0009,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0009,23-09-2015,,Critical,5.22,99.98752157,,,,,,,,,,,,
AcYA0027,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0027,23-09-2015,,Class B,1.51,99.93845828,,,,,,,,,,,,
AcAY0006,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0006,21-09-2015,,Class B,2.50,99.65384392,,,,,,,,,,,,
AcKY0001,Kayah,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKY0001,19-10-2015,,Class B,2.50,100,,,,,,,,,,,,
AcMA0003,Mandalay,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMA0003,17-10-2015,,Critical,2.50,100,,,,,,,,,,,,
AcMA0009,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0009,17-10-2015,,Class B,3.87,99.89,,,,,,,,,,,,
AcMA0014,Mandalay,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcMA0014,26-10-2015,,Critical,3.67,100,,,,,,,,,,,,
AcMO0001,Mon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMO0001,19-09-2015,,Class B,3.87,99.65841962,,,,,,,,,,,,
AcNP0004,Naypyitaw,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcNP0004,15-10-2015,,Class B,2.08,99.72946535,,,,,,,,,,,,
AcNP0002,Naypyitaw,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcNP0002,17-09-2015,,Class B,1.93,100,,,,,,,,,,,,
AcRA0003,Rakhine,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcRA0003,04-11-2015,,Class B,2.50,100,,,,,,,,,,,,
AcSA0003,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0003,17-10-2015,,Class B,2.76,99.45077492,,,,,,,,,,,,
AcSH0006,Shan,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSH0006,02-11-2015,,Class B,2.69,99.99846509,,,,,,,,,,,,
AcYA0012,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0012,23-09-2015,,Class B,2.74,99.89,,,,,,,,,,,,
AcYA0013,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0013,23-09-2015,,Class B,2.16,99.99546993,,,,,,,,,,,,
AcYA0017,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0017,23-09-2015,,Class B,2.49,99.93,,,,,,,,,,,,
AcYA0019,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0019,23-09-2015,,Class B,2.87,99.9932049,AmYA0004,01-07-2015,,Class C,1.5,99.9932049,,,,,,
AcYA0020,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0020,23-09-2015,,Class B,2.71,99.88,,,,,,,,,,,,
AcAY0001,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0001,21-09-2015,,Class B,3.44,99.99525836,CoAY0001,20-01-2017,,Class B,1.5,99.99525836,,,,,,
AcAY0003,Ayeyarwady,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcAY0003,21-09-2015,,Class B,2.50,99.98618578,CoAY0002,10-01-2017,,Class B,1.5,99.98618578,,,,,,
AcAY0008,Ayeyarwady,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcAY0008,21-09-2015,,Class B,2.35,99.92802087,,,,,,,,,,,,
AcKN0001,Kayin,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcKN0001,19-09-2015,,Class B,4.34,100,CoKN0001,30-05-2017,,Class C,2.6,100,,,,,,
AcMA0012,Mandalay,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMA0012,17-10-2015,,Class B,2.50,100,CoMA0007,01-11-2016,,Class B,1.5,100,,,,,,
AcMA0013,Mandalay,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcMA0013,17-10-2015,,Class B,1.85,99.88541252,CoMA0008,24-07-2017,,Class C,2.6,99.88541252,,,,,,
AcMO0003,Mon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMO0003,19-09-2015,,Class B,3.37,100,CoMO0002,27-02-2017,,Class C,1.5,100,,,,,,
AcMW0005,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0005,17-09-2015,,Class B,1.96,99.1323095,,,,,,,,,,,,
AcMW0006,Magway,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcMW0006,17-09-2015,,Class B,1.89,99.62192603,CoMW0002,20-11-2016,,Class B,1.5,99.62192603,,,,,,
AcNP0005,Naypyitaw,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcNP0005,15-10-2015,,Class B,2.92,99.55142374,CoNP0002,25-01-2017,,Class B,1.5,99.55142374,,,,,,
AcNP0001,Naypyitaw,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcNP0001,17-09-2015,,Critical,1.69,99.98,CoNP0001,31-08-2017,,Class C,1.5,99.98,,,,,,
AcSA0001,Sagaing,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSA0001,17-10-2015,,Class B,1.83,99.99997926,,,,,,,,,,,,
AcSA0009,Sagaing,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSA0009,17-10-2015,,Class B,2.06,99.94598765,,,,,,,,,,,,
AcSH0003,Shan,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcSH0003,23-08-2016,,Class B,3.42,99.88091564,CoSH0002,29-01-2017,,Class C,1.5,99.88091564,,,,,,
AcSH0002,Shan,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSH0002,01-02-2016,,Class B,1.98,99.68420201,CoSH0001,16-02-2017,,Class C,1.5,99.68420201,,,,,,
AcSH0001,Shan,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcSH0001,15-11-2015,,Class B,2.50,98.99232543,,,,,,,,,,,,
AcTA0002,Tanintharyi,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcTA0002,23-09-2015,,Class B,1.80,100,,,,,,,,,,,,
AcYA0001,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0001,23-09-2015,,Class B,2.66,99.83,CoYA0001,24-08-2017,,Class C,1.5,99.83,,,,,,
AcYA0002,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0002,23-09-2015,,Class B,3.76,100,CoYA0002,07-04-2017,,Class C,1.5,100,,,,,,
AcYA0005,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0005,23-09-2015,,Class B,3.02,99.94,,,,,,,,,,,,
AcYA0008,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0008,23-09-2015,,Class B,5.33,99.81756521,CoYA0006,10-03-2017,,Class C,2.6,99.81756521,AmYA0003,23-02-2017,,Class C,2.6,99.81756521
AcYA0011,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0011,23-09-2015,,Critical,5.18,99.98,,,,,,,,,,,,
AcYA0015,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0015,23-09-2015,,Class C,2.50,100,,,,,,,,,,,,
AcYA0018,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0018,23-09-2015,,Class B,2.50,100,,,,,,,,,,,,
AcYA0021,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0021,23-09-2015,,Critical,3.24,99.98,,,,,,,,,,,,
AcYA0022,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0022,23-09-2015,,Class B,2.05,100,,,,,,,,,,,,
AcYA0023,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0023,23-09-2015,,Critical,3.51,99.97,CoYA0007,13-08-2017,,Class C,1.5,99.97,AmYA0005,08-05-2017,,Class C,1.5,99.97
AcYA0025,Yangon,01-07-2015,Off Grid,Active,,,,,,,,,,,,,AcYA0025,23-09-2015,,Class B,2.71,99.14480453,CoYA0008,25-08-2017,,Class C,1.5,99.14480453,AmYA0007,31-01-2017,,Class C,1.5,99.14480453
AcYA0026,Yangon,01-07-2015,Poor Grid,Active,,,,,,,,,,,,,AcYA0026,23-09-2015,,Critical,4.61,99.96,,,,,,,,,,,,
AcYA0028,Yangon,01-07-2015,Good Grid,Active,,,,,,,,,,,,,AcYA0028,23-09-2015,,Critical,6.55,100,,,,,,,,,,,,
